claim_id,claim_language,gold_label,source,claim_text,model,prompt_strategy,raw_response,verdict
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",google/gemini-2.5-flash-lite,zero_shot,UNCERTAIN,UNCERTAIN
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",google/gemini-2.5-flash-lite,chain_of_thought,"Here's a step-by-step assessment of the claim:

1.  **What is the claim asserting?**
    The claim asserts that veteran Indian actor Naseeruddin Shah's health has deteriorated, and he has been admitted to the hospital. The latter part of the message expresses distress and a plea to God for no more such news, wishing the actor a long life.

2.  **What do you know about this topic?**
    Naseeruddin Shah is a highly respected and well-known actor in Indian cinema. News about his health, especially",UNPARSEABLE
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",google/gemini-2.5-flash-lite,persona,"As an IFCN-certified fact-checker, I will assess the claim ""नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है ईश्वर आपको लंबी उम्र दे"" (Naseeruddin Shah's health also deteriorated, admitted to hospital. Oh God, don't give such news anymore, because there is also a limit to tolerance. May God give you a long life).

My process will involve the following steps:

1.  **Identify the core assertion:** The central claim is that veter",UNPARSEABLE
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",deepseek/deepseek-v4-flash,zero_shot,UNCERTAIN,UNCERTAIN
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",deepseek/deepseek-v4-flash,chain_of_thought,"### Step-by-Step Fact-Check

1. **What is the claim asserting?**  
   The claim states that veteran Indian actor Naseeruddin Shah has suffered a deterioration in health and has been hospitalized. It includes an emotional plea to God not to give such news, implying distress.

2. **What do you know about this topic?**  
   - Naseeruddin Shah is a well-known actor, now in his 70s (born 1950). He has had health issues in the past, including a hospitalization in 2022 for a routine check-up and a mild",UNPARSEABLE
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",deepseek/deepseek-v4-flash,persona,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",qwen/qwen3-235b-a22b:free,zero_shot,"[API_ERROR: Error code: 404 - {'error': {'message': 'This model is unavailable for free. The paid version is available now - use this slug instead: qwen/qwen3-235b-a22b', 'code': 404}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",qwen/qwen3-235b-a22b:free,chain_of_thought,"[API_ERROR: Error code: 404 - {'error': {'message': 'This model is unavailable for free. The paid version is available now - use this slug instead: qwen/qwen3-235b-a22b', 'code': 404}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",qwen/qwen3-235b-a22b:free,persona,"[API_ERROR: Error code: 404 - {'error': {'message': 'This model is unavailable for free. The paid version is available now - use this slug instead: qwen/qwen3-235b-a22b', 'code': 404}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",meta-llama/llama-3.3-70b-instruct:free,zero_shot,"[API_ERROR: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Venice', 'is_byok': False, 'retry_after_seconds': 28, 'retry_after_seconds_raw': 27.912, 'headers': {'Retry-After': '28'}}}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,"[API_ERROR: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Venice', 'is_byok': False, 'retry_after_seconds': 29, 'retry_after_seconds_raw': 28.727, 'headers': {'Retry-After': '29'}}}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
153,hindi,fake,constraint-2021,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",meta-llama/llama-3.3-70b-instruct:free,persona,"[API_ERROR: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Venice', 'is_byok': False, 'retry_after_seconds': 29, 'retry_after_seconds_raw': 28.557, 'headers': {'Retry-After': '29'}}}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",google/gemini-2.5-flash-lite,zero_shot,UNCERTAIN,UNCERTAIN
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",google/gemini-2.5-flash-lite,chain_of_thought,"Here's a thinking process to fact-check the claim:

1.  **What is the claim asserting?**
    *   There's a fake Twitter account named ""रिपब्लिक पोल"" (Republic Poll).
    *   This account is facing anger from netizens due to controversial polls.
    *   Many Twitter users, including journalists, are mistaking this fake account for the official account of a channel (presumably Republic TV, given the name).

2.  **What do you know about this topic?**
    *   **""रिपब्लिक"" (Republic):** This strongly",FAKE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",google/gemini-2.5-flash-lite,persona,"Here's an assessment of the claim based on journalistic standards:

**Claim Analysis:**

The claim states that a fake Twitter account named ""Republic Poll"" is facing backlash from netizens due to its controversial polls. It further alleges that many Twitter users, including journalists, are mistaking this fake account for the official account of ""Republic.""

**Fact-Checking Process:**

1.  **Identify the core assertions:**
    *   Existence of a fake Twitter account named ""Republic Poll.""
    * ",FAKE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",deepseek/deepseek-v4-flash,zero_shot,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",deepseek/deepseek-v4-flash,chain_of_thought,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",deepseek/deepseek-v4-flash,persona,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",qwen/qwen3-235b-a22b:free,zero_shot,"[API_ERROR: Error code: 404 - {'error': {'message': 'This model is unavailable for free. The paid version is available now - use this slug instead: qwen/qwen3-235b-a22b', 'code': 404}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",qwen/qwen3-235b-a22b:free,chain_of_thought,"[API_ERROR: Error code: 404 - {'error': {'message': 'This model is unavailable for free. The paid version is available now - use this slug instead: qwen/qwen3-235b-a22b', 'code': 404}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",qwen/qwen3-235b-a22b:free,persona,"[API_ERROR: Error code: 404 - {'error': {'message': 'This model is unavailable for free. The paid version is available now - use this slug instead: qwen/qwen3-235b-a22b', 'code': 404}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",meta-llama/llama-3.3-70b-instruct:free,zero_shot,"[API_ERROR: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Venice', 'is_byok': False, 'retry_after_seconds': 30, 'retry_after_seconds_raw': 29.094, 'headers': {'Retry-After': '30'}}}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,"[API_ERROR: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Venice', 'is_byok': False, 'retry_after_seconds': 30, 'retry_after_seconds_raw': 29.305, 'headers': {'Retry-After': '30'}}}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
2550,hindi,fake,constraint-2021,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",meta-llama/llama-3.3-70b-instruct:free,persona,"[API_ERROR: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Venice', 'is_byok': False, 'retry_after_seconds': 30, 'retry_after_seconds_raw': 29.375, 'headers': {'Retry-After': '30'}}}, 'user_id': 'user_3EwotBHQmjXZuYMNtjSqJtAPW9x'}]",UNPARSEABLE
4258,hindi,fake,constraint-2021,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",google/gemini-2.5-flash-lite,zero_shot,REAL,REAL
